Season,Name,Age,Hometown,Profession,Finish,Ethnicity,Gender,Lgbt,Has Disability,State,Country
14,Erica Durousseau,27,"Lake Charles, LA",Non-Profit Fundraiser,18,African-American,F,False,False,LA,USA
14,Sylvia Kwan,52,"Ross, CA",Architect,17,Asian-American,F,False,False,CA,USA
14,Gary Stritesky,55,"Ramsey, MN",School Bus Driver,16,White,M,False,False,MN,USA
14,Liliana Gomez,25,"Oxnard, CA",Loan Officer,15,Latin American,F,False,False,CA,USA
14,Rita Verreos,38,"San Antonio, TX",Single Mother,14,Latin American,F,False,False,TX,USA
14,Anthony Robinson,32,"Compton, CA",Expert Witness Locator,13,African-American,M,False,False,CA,USA
14,Rocky Reid,28,"Los Angeles, CA",Bartender,12,White,M,False,False,CA,USA
14,Lisi Linares,36,"Los Angeles, CA",Customer Service Representative,11,Latin American,F,False,False,CA,USA
14,Michelle Yi,23,"Cincinnati, OH",Student,10,Asian-American,F,False,False,OH,USA
14,Edgardo Rivera,28,"Miami Beach, FL",Advertising Executive,9,Latin American,M,False,False,FL,USA
14,Mookie Lee,25,"Chicago, IL",Business Consultant,8,Asian-American,M,False,False,IL,USA
14,Alex Angarita,28,"Los Angeles, CA",Attorney,7,Latin American,M,False,False,CA,USA
14,Stacy Kimball,27,"Boulder, CO",Web Producer,6,Asian-American,F,False,False,CO,USA
14,Boo Bernis,34,"Lafayette, LA",Construction Worker,5,White,M,False,False,LA,USA
14,Yau-Man Chan,54,"Martinez, CA",Internet Technology Director,4,Asian-American,M,False,False,CA,USA
14,Cassandra Franklin,42,"Los Angeles, CA",College Administrator,2,African-American,F,False,False,CA,USA
14,Dreamz Herd,25,"Wilmington, NC",Cheerleading Coach,2,African-American,M,False,False,NC,USA
14,Earl Cole,35,"Santa Monica, CA",Advertising Executive,1,African-American,M,False,False,CA,USA
15,Chicken Morris,47,"Marion, VA",Chicken Farmer,16,White,M,False,False,VA,USA
15,Ashley Massaro,28,"East Northport, NY",Professional Wrestler,15,White,F,False,False,NY,USA
15,Leslie Nease,38,"Tega Cay, SC",Christian Radio Host,14,White,F,False,False,SC,USA
15,Dave Cruser,37,"Simi Valley, CA",Former Model,13,White,M,False,False,CA,USA
15,Aaron Reisberger,32,"Venice, CA",Surfing Instructor,12,White,M,False,False,CA,USA
15,Sherea Lloyd,26,"Atlanta, GA",Elementary Teacher,11,African-American,F,False,False,GA,USA
15,Jaime Dugan,22,"Columbia, SC",Student,10,White,F,False,False,SC,USA
15,Jean-Robert Bellande,36,"Las Vegas, NV",Profession Poker Player,9,White,M,False,False,NV,USA
15,Frosti Zernow,20,"Chicago, IL",Student/Athlete,8,Asian-American,M,False,False,IL,USA
15,James Clement,30,"Lafayette, LA",Gravedigger,7,African-American,M,False,False,LA,USA
15,Erik Huffman,26,"Nashville, TN",Musician,6,White,M,False,False,TN,USA
15,Peih-Gee Law,29,"Marina Del Rey, CA",Jeweler,5,Asian-American,F,False,False,CA,USA
15,Denise Martin,40,"Douglas, MA",School Lunch Lady,4,White,F,False,False,MA,USA
15,Amanda Kimmel,23,"Kalispell, MT",Hiking Guide,2,White,F,False,False,MT,USA
15,Courtney Yates,26,"New York, NY",Waitress,2,White,F,False,False,NY,USA
15,Todd Herzog,22,"Pleasant Grove, UT",Flight Attendant,1,White,M,True,False,UT,USA
16,Jon Dalton,33,"Danville, VA",Art Consultant,20,White,M,False,False,VA,USA
16,Mary Sartain,29,"Emeryville, CA",Real Estate Manager,19,White,F,False,False,CA,USA
16,Yau-Man Chan,55,"Martinez, CA",Internet Technology Director,18,Asian-American,M,False,False,CA,USA
16,Mikey Bortone,34,"Los Angeles, CA",Aspiring Writer,17,White,M,False,False,CA,USA
16,Joel Anderson,32,"Avondale, AZ",Firefighter,16,White,M,False,False,AZ,USA
16,Jonathan Penner,45,"Los Angeles, CA",Writer,15,White,M,False,False,CA,USA
16,Chet Welch,48,"Ford City, PA",Pageant Coach,14,White,M,True,False,PA,USA
16,Kathy Sleckman,45,"Glen Ellyn, IL",Golf Course Vendor,13,White,F,False,False,IL,USA
16,Tracy Hughes-Wolf,43,"Fredericksburg, VA",Residential Builder,12,White,F,False,False,VA,USA
16,Ami Cusack,34,"Golden, CO",Nanny,11,White,F,True,False,CO,USA
16,Eliza Orlins,25,"New York, NY",Law School Student,10,White,F,False,False,NY,USA
16,Ozzy Lusth,26,"Venice, CA",Photographer,9,Latin American,M,True,False,CA,USA
16,Jason Siska,22,"Fox River Grove, IL",Gymnastics Coach,8,White,M,False,False,IL,USA
16,James Clement,30,"Lafayette, LA",Gravedigger,7,African-American,M,False,False,LA,USA
16,Alexis Jones,24,"Beverly Hills, CA",Motivational Speaker,6,Latin American,F,False,False,CA,USA
16,Erik Reichenbach,22,"Pinckney, MI",Ice Cream Scooper,5,White,M,False,False,MI,USA
16,Natalie Bolton,32,"Los Angeles, CA",Personal Trainer,4,Asian-American,F,True,False,CA,USA
16,Cirie Fields,37,"Norwalk, CT",Nurse,3,African-American,F,False,False,CT,USA
16,Amanda Kimmel,23,"Los Angeles, CA",Aspiring Designer,2,White,F,False,False,CA,USA
16,Parvati Shallow,25,"Los Angeles, CA",Charity Organizer,1,White,F,True,False,CA,USA
17,Michelle Chase,24,"Los Angeles, CA",Music Producer,18,White,F,False,False,CA,USA
17,Gillian Larson,61,"Temecula, CA",Retired Nurse,17,White,F,False,False,CA,USA
17,Paloma Soto-Castillo,24,"Downey, CA",Student,16,Latin American,F,False,False,CA,USA
17,Jacquie Berg,25,"Santa Barbara, CA",Medical Saleswoman,15,White,F,False,False,CA,USA
17,GC Brown,26,"Portland, OR",Maintenance Man,14,African-American,M,False,False,OR,USA
17,Kelly Czarnecki,22,"Buffalo Grove, IL",Retail Saleswoman,13,White,F,False,False,IL,USA
17,Ace Gordon,27,"Naples, FL",Jewelry Salesman/Photographer,12,White,M,False,False,FL,USA
17,Dan Kay,32,"Boston, MA",Attorney,11,White,M,False,False,MA,USA
17,Marcus Lehman,28,"Atlanta, GA",Doctor,10,Latin American,M,False,False,GA,USA
17,Charlie Herschel,29,"New York, NY",Attorney,9,White,M,True,False,NY,USA
17,Randy Bailey,49,"Eagle Rock, MO",Wedding Videographer,8,White,M,False,False,MO,USA
17,Corinne Kaplan,29,"Los Angeles, CA",Pharmaceutical Saleswoman,7,White,F,False,False,CA,USA
17,Crystal Cox,29,"Durham, NC",Olympic Gold Medalist,6,African-American,F,False,False,NC,USA
17,Ken Hoang,22,"Westminster, CA",Professional Gamer,5,Asian-American,M,False,False,CA,USA
17,Matty Whitmore,29,"Pacific Palisades, CA",Personal Trainer,4,White,M,False,False,CA,USA
17,Sugar Kiper,29,"Brooklyn, NY",Pin-Up Model,2,White,F,False,False,NY,USA
17,Susie Smith,47,"Charles City, IA",Hairdresser,2,Latin American,F,False,False,IA,USA
17,Bob Crowley,57,"Portland, ME",Physics Teacher,1,White,M,False,False,ME,USA
18,Carolina Eastwood,26,"West Hollywood, CA",Bartender,16,Latin American,F,False,False,CA,USA
18,Candace Smith,31,"Dayton, OH",Attorney,15,African-American,F,False,False,OH,USA
18,Jerry Sims,49,"Rock Hill, SC",U.S. Army Sergeant,14,African-American,M,False,False,SC,USA
18,Sandy Burgin,53,"Louisville, KY",Bus Driver,13,White,F,False,False,KY,USA
18,Spencer Duhm,19,"Lakeland, FL",Student,12,White,M,True,False,FL,USA
18,Sydney Wheeler,24,"Raleigh, NC",Model,11,White,F,False,False,NC,USA
18,Joe Dowdle,26,"Austin, TX",Real Estate Salesman,10,White,M,False,False,TX,USA
18,Brendan Synnott,30,"New York, NY",Entrepreneur,9,White,M,False,False,NY,USA
18,Tyson Apostol,29,"Lindon, UT",Professional Cyclist,8,White,M,False,False,UT,USA
18,Sierra Reed,23,"Los Angeles, CA",Model,7,White,F,False,False,CA,USA
18,Debbie Beebe,46,"Auburn, AL",School Principal,6,White,F,False,False,AL,USA
18,Coach Wade,37,"Bolivar, MO",Soccer Coach/Musician,5,White,M,False,False,MO,USA
18,Taj Johnson-George,37,"Nashville, TN",Former Pop Star,4,African-American,F,False,False,TN,USA
18,Erinn Lobdell,26,"Waukesha, WI",Hairdresser,3,White,F,False,False,WI,USA
18,Stephen Fishbach,29,"New York, NY",Corporate Consultant,2,White,M,False,False,NY,USA
18,J.T. Thomas,24,"Samson, AL",Cattle Rancher,1,White,M,False,False,AL,USA
19,Marisa Calihan,26,"Cincinnati, OH",Student,20,White,F,False,False,OH,USA
19,Mike Borassi,62,"Marina del Rey, CA",Personal Chef,19,White,M,False,False,CA,USA
19,Betsy Bolan,48,"Campton, NH",Police Officer,18,White,F,False,False,NH,USA
19,Ben Browning,28,"Los Angeles, CA",Bar Manager,17,White,M,False,False,CA,USA
19,Yasmin Giles,33,"Los Angeles, CA",Hairstylist,16,African-American,F,False,False,CA,USA
19,Ashley Trainer,22,"Maple Grove, MN",Spa Saleswoman,15,White,F,False,False,MN,USA
19,Russell Swan,42,"Glenside, PA",Attorney,14,African-American,M,False,False,PA,USA
19,Liz Kim,33,"New York, NY",Urban Planner,13,Asian-American,F,False,False,NY,USA
19,Erik Cardona,28,"Ontario, CA",Bartender,12,Latin American,M,False,False,CA,USA
19,Kelly Sharbaugh,25,"Los Angeles, CA",Hairstylist,11,White,F,False,False,CA,USA
19,Laura Morett,39,"Salem, OR",Office Manager,10,White,F,False,False,OR,USA
19,John Fincher,25,"Los Angeles, CA",Rocket Scientist,9,Latin American,M,False,False,CA,USA
19,Dave Ball,38,"Los Angeles, CA",Fitness Instructor,8,White,M,False,False,CA,USA
19,Monica Padilla,25,"San Diego, CA",Law Student,7,Latin American,F,False,False,CA,USA
19,Shambo Waters,45,"Renton, WA",Saleswoman,6,White,F,True,False,WA,USA
19,Jaison Robinson,28,"Chicago, IL",Law Student,5,African-American,M,False,False,IL,USA
19,Brett Clouser,23,"Los Angeles, CA",T-shirt Designer,4,White,M,False,False,CA,USA
19,Mick Trimming,33,"Los Angeles, CA",Doctor,2,White,M,False,False,CA,USA
19,Russell Hantz,36,"Dayton, TX",Oil Company Owner,2,White,M,False,False,TX,USA
19,Natalie White,26,"Van Buren, AR",Pharmaceutical Saleswoman,1,White,F,False,False,AR,USA
20,Sugar Kiper,30,"Los Angeles, CA",Pin-Up Model,20,White,F,False,False,CA,USA
20,Stephenie LaGrossa,29,"Philadelphia, PA",Pharmaceutical Sales Representative,19,White,F,False,False,PA,USA
20,Randy Bailey,50,"Eagle Rock, MO",Wedding Videographer,18,White,M,False,False,MO,USA
20,Cirie Fields,39,"Norwalk, CT",Nurse,17,African-American,F,False,False,CT,USA
20,Tom Westman,45,"Sayville, NY",Motivational Speaker,16,White,M,False,False,NY,USA
20,Tyson Apostol,29,"Lindon, UT",Former Professional Cyclist,15,White,M,False,False,UT,USA
20,James Clement,32,"Lafayette, LA",Gravedigger,14,African-American,M,False,False,LA,USA
20,Rob Mariano,33,"Pensacola, FL",Construction Worker,13,White,M,False,False,FL,USA
20,Coach Wade,38,"Los Angeles, CA",Soccer Coach/Musician,12,White,M,False,False,CA,USA
20,Courtney Yates,29,"New York, NY",Waitress,11,White,F,False,False,NY,USA
20,J.T. Thomas,25,"Samson, AL",Cattle Rancher,10,White,M,False,False,AL,USA
20,Amanda Kimmel,25,"Los Angeles, CA",Aspiring Designer,9,White,F,False,False,CA,USA
20,Candice Cody,27,"Washington, DC",Physician,8,White,F,False,False,DC,USA
20,Danielle DiLorenzo,28,"Pompano Beach, FL",Medical Sales Representative,7,White,F,False,False,FL,USA
20,Rupert Boneham,45,"Indianapolis, IN",Troubled Teens Mentor,6,White,M,False,False,IN,USA
20,Colby Donaldson,35,"Dallas, TX",Actor,5,White,M,False,False,TX,USA
20,Jerri Manthey,38,"Los Angeles, CA",Actress,4,White,F,False,False,CA,USA
20,Russell Hantz,36,"Dayton, TX",Oil Company Owner,2,White,M,False,False,TX,USA
20,Parvati Shallow,27,"Los Angeles, CA",Charity Organizer,2,White,F,True,False,CA,USA
20,Sandra Diaz-Twine,35,"Fayetteville, NC",Office Assistant,1,Latin American,F,False,False,NC,USA
21,Wendy DeSmidt-Kohlhoff,48,"Fromberg, MT",Goat Rancher,20,White,F,False,False,MT,USA
21,Shannon Elkins,30,"Lafayette, LA",Pest Control Company Owner,19,White,M,False,False,LA,USA
21,Jimmy Johnson,67,"Islamorada, FL",Former NFL Coach,18,White,M,False,False,FL,USA
21,Jimmy Tarantino,48,"Gloucester, MA",Commercial Fisherman,17,White,M,False,False,MA,USA
21,Tyrone Davis,42,"Inglewood, CA",Firefighter,16,African-American,M,False,False,CA,USA
21,Kelly Bruno,26,"Durham, NC",Medical Student,15,White,F,False,True,NC,USA
21,Yve Rojas,41,"Kansas City, MO",Homemaker,14,Latin American,F,False,False,MO,USA
21,Jill Behm,43,"Erie, PA",ER Doctor,13,White,F,False,False,PA,USA
21,Alina Wilson,23,"Downey, CA",Art Student,12,White,F,False,False,CA,USA
21,Marty Piombo,48,"Mill Valley, CA",Technology Executive,11,White,M,False,False,CA,USA
21,Brenda Lowe,27,"Miami, FL",Paddleboard Company Owner,10,Latin American,F,False,False,FL,USA
21,NaOnka Mixon,27,"Los Angeles, CA",P.E. Teacher,9,African-American,F,False,False,CA,USA
21,Kelly Shinn,20,"Mesa, AZ",Nursing Student,8,White,F,False,False,AZ,USA
21,Benry Henry,24,"Los Angeles, CA",Club Promoter,7,White,M,False,False,CA,USA
21,Jane Bright,56,"Jackson Springs, NC",Dog Trainer,6,White,F,False,False,NC,USA
21,Dan Lembo,63,"Watermill, NY",Real Estate Executive,5,White,M,False,False,NY,USA
21,Holly Hoffman,44,"Eureka, SD",Swim Coach,4,White,F,False,False,SD,USA
21,Sash Lenahan,30,"New York, NY",Real Estate Broker,2,African-American,M,False,False,NY,USA
21,Chase Rice,24,"Fairview, NC",Professional Racecar Jackman,2,White,M,False,False,NC,USA
21,Fabio Birza,21,"Venice, CA",Student,1,White,M,False,False,CA,USA
22,Francesca Hogi,36,"Washington, DC",Attorney,18,African-American,F,False,False,DC,USA
22,Russell Hantz,38,"Dayton, TX",Oil Company Owner,17,White,M,False,False,TX,USA
22,Kristina Kell,46,"Malibu, CA",Law Student,16,White,F,False,False,CA,USA
22,Krista Klumpp,25,"Columbia, SC",Pharmaceutical Representative,15,White,F,False,False,SC,USA
22,Stephanie Valencia,26,"Long Beach, CA",Waitress,14,Latin American,F,False,False,CA,USA
22,Sarita White,36,"Santa Monica, CA",Visual Effects Producer,13,White,F,False,False,CA,USA
22,David Murphy,31,"West Hollywood, CA",Defense Attorney,12,White,M,False,False,CA,USA
22,Julie Wolfe,50,"Oceanside, CA",Firefighter,11,White,F,False,False,CA,USA
22,Steve Wright,51,"Huntington Beach, CA",Ex-NFL Player,10,White,M,False,False,CA,USA
22,Ralph Kiser,45,"Lebanon, VA",Farmer,9,White,M,False,False,VA,USA
22,Grant Mattos,29,"West Hollywood, CA",Ex-NFL Player,8,White,M,False,False,CA,USA
22,Matt Elrod,22,"Nashville, TN",Pre-Med Student,7,White,M,False,False,TN,USA
22,Mike Chiesl,31,"Del Mar, CA",Iraq War Veteran,6,White,M,False,False,CA,USA
22,Andrea Boehlke,21,"Random Lake, WI",Student,5,White,F,False,False,WI,USA
22,Ashley Underwood,25,"Benton, ME",Nurse,4,White,F,False,False,ME,USA
22,Natalie Tenerelli,19,"Acton, CA",Professional Dancer,2,White,F,False,False,CA,USA
22,Phillip Sheppard,52,"Santa Monica, CA",Former Federal Agent?,2,African-American,M,False,False,CA,USA
22,Rob Mariano,34,"Pensacola, FL",Construction Worker,1,White,M,False,False,FL,USA
23,Semhar Tadesse,24,"Los Angeles, CA",Spoken Word Artist,18,African-American,F,False,False,CA,USA
23,Mark Caruso,48,"Forest Hills, NY",Retired NYPD Detective,17,White,M,True,False,NY,USA
23,Stacey Powell,44,"Grand Prairie, TX",Mortician,16,African-American,F,False,False,TX,USA
23,Elyse Umemoto,27,"Las Vegas, NV",Dance Team Manager,15,Latin American,F,False,False,NV,USA
23,Mikayla Wingle,22,"Tampa, FL",Lingerie Football Player,14,White,F,False,False,FL,USA
23,Christine Shields Markoski,39,"Merrick, NY",Teacher,13,Latin American,F,False,False,NY,USA
23,Jim Rice,35,"Denver, CO",Medical Marijuana Dispenser,12,White,M,False,False,CO,USA
23,Keith Tollefson,26,"Edina, MN",Water Treatment Technician,11,White,M,False,False,MN,USA
23,Dawn Meehan,41,"South Jordan, UT",English Profressor,10,White,F,False,False,UT,USA
23,Whitney Duncan,26,"Nashville, TN",Country Music Singer,9,White,F,False,False,TN,USA
23,John Cochran,24,"Washington, D.C.",Harvard Law Student,8,White,M,False,False,D.C.,USA
23,Edna Ma,35,"Los Angeles, CA",Anesthesiologist,7,Asian-American,F,False,False,CA,USA
23,Brandon Hantz,19,"Katy, TX",Oil Tanker Crewman,6,White,M,False,False,TX,USA
23,Rick Nelson,51,"Aurora, UT",Rancher,5,White,M,False,False,UT,USA
23,Ozzy Lusth,30,"Venice, CA",Photographer,4,Latin American,M,True,False,CA,USA
23,Albert Destrade,26,"Plantation, FL",Baseball/Dating Coach,2,Latin American,M,False,False,FL,USA
23,Coach Wade,39,"Susanville, CA",Soccer Coach/Musician,2,White,M,False,False,CA,USA
23,Sophie Clarke,22,"Willsboro, NY",Medical Student,1,White,F,False,False,NY,USA
24,Kourtney Moon,29,"Austin, TX",Motorcycle Repairwoman,18,White,F,False,False,TX,USA
24,Nina Acosta,51,"Clovis, CA",Retired LAPD Officer,17,White,F,False,False,CA,USA
24,Matt Quinlan,33,"San Francisco, CA",Attorney,16,White,M,False,False,CA,USA
24,Bill Posley,28,"Venice, CA",Stand-Up Comedian,15,African-American,M,True,False,CA,USA
24,Monica Culpepper,41,"Tampa, FL",Ex-NFL Player's Wife,14,White,F,False,False,FL,USA
24,Colton Cumbie,21,"Monroeville, AL",Student,13,White,M,True,False,AL,USA
24,Jonas Otsuji,37,"Lehi, UT",Sushi Chef,12,Asian-American,M,False,False,UT,USA
24,Michael Jefferson,30,"Seattle, WA",Banker,11,White,M,False,False,WA,USA
24,Jay Byars,25,"Gaffney, SC",Model,10,White,M,False,False,SC,USA
24,Leif Manson,27,"San Diego, CA",Phlebotomist,9,White,M,False,True,CA,USA
24,Troyzan Robertson,50,"Miami, FL",Swimsuit Photographer,8,White,M,False,False,FL,USA
24,Kat Edorsson,22,"Orlando, FL",Timeshare Representative,7,White,F,False,False,FL,USA
24,Tarzan Smith,64,"Houston, TX",Plastic Surgeon,6,White,M,False,False,TX,USA
24,Alicia Rosa,25,"Chicago, IL",Special Education Teacher,5,Latin American,F,False,False,IL,USA
24,Christina Cha,29,"West Hollywood, CA",Career Consultant,4,Asian-American,F,False,False,CA,USA
24,Chelsea Meissner,26,"Charleston, SC",Medical Saleswoman,2,White,F,False,False,SC,USA
24,Sabrina Thompson,33,"Brooklyn, NY",High School Teacher,2,African-American,F,False,False,NY,USA
24,Kim Spradlin-Wolfe,29,"San Antonio, TX",Bridal Shop Owner,1,White,F,False,False,TX,USA
25,Zane Knight,28,"Danville, VA",Tire Repairman,18,White,M,False,False,VA,USA
25,Roxy Morris,28,"Brooklyn, NY",Seminary Student,17,African-American,F,False,False,NY,USA
25,Angie Layton,20,"Provo, UT",Model/Student,16,White,F,False,False,UT,USA
25,Russell Swan,45,"Glenside, PA",Attorney,15,African-American,M,False,False,PA,USA
25,Dana Lambert,32,"Winston-Salem, NC",Cosmetologist,14,White,F,True,False,NC,USA
25,Sarah Dawson,28,"Silver Spring, MD",Insurance Saleswoman,13,African-American,F,False,False,MD,USA
25,Katie Hanson,22,"Newark, DE",Former Miss Delaware,12,White,F,False,False,DE,USA
25,RC Saint-Amour,27,"New York, NY",Investment Banker,11,White,F,False,False,NY,USA
25,Jeff Kent,44,"Austin, TX",Former MLB Player,10,White,M,False,False,TX,USA
25,Artis Silvester,53,"Terrytown, LA",Computer Engineer,9,African-American,M,False,False,LA,USA
25,Pete Yurkowski,24,"Holmdel, NJ",Engineer Graduate/Model,8,White,M,False,False,NJ,USA
25,Jonathan Penner,50,"Los Angeles, CA",Writer,7,White,M,False,False,CA,USA
25,Carter Williams,24,"Shawnee, KS",Track Coach,6,White,M,False,False,KS,USA
25,Abi-Maria Gomes,32,"Los Angeles, CA",Business Student,5,Latin American,F,False,False,CA,USA
25,Malcolm Freberg,25,"Hermosa Beach, CA",Bartender,4,White,M,False,False,CA,USA
25,Lisa Whelchel,49,"Dallas, TX",Former TV Teen Star,2,White,F,False,False,TX,USA
25,Michael Skupin,50,"White Lake, MI",Professional Speaker,2,White,M,False,False,MI,USA
25,Denise Stapley,41,"Cedar Rapids, IA",Sex Therapist,1,White,F,False,False,IA,USA
